geo_code,geo_name,country,latitude,longitude,segment_id,segment_label,overall_opportunity_score,opportunity_rank,opportunity_percentile,market_size_score,segment_priority_score,recommended_attraction_alignment_score,segment_category_fit_score,recommended_attraction_focus,recommended_attraction_name,recommended_attraction_brand,recommended_attraction_category,recommended_attraction_distance_miles,nearest_merlin_attraction,nearest_merlin_brand,nearest_merlin_category,nearest_merlin_distance_miles,recommended_product_focus,recommended_commercial_play,commercial_play_rationale,recommended_activation,annual_pass_repeat_visit_flag,cluster_marketing_flag,short_break_opportunity_flag,merlin_attractions_within_30_miles,merlin_attraction_cluster_names_30_miles,illustrative_revenue_opportunity_1pct_gbp,revenue_per_visitor_assumption_gbp,penetration_rate_assumption,key_contributing_driver,assumptions_flag,total_population,children_count_0_14,young_adult_count_15_24,core_family_adult_count_25_44,midlife_adult_count_45_64,older_adult_count_65_plus,total_households,households_with_dependent_children,households_deprived,households_not_deprived,households_no_car_or_van,households_with_car_or_van,residents_social_grade_ab_c1,children_share_0_14,young_adult_share_15_24,core_family_adult_share_25_44,midlife_adult_share_45_64,older_adult_share_65_plus,family_household_share,deprived_household_share,not_deprived_household_share,car_access_household_share,population_density_per_sq_km,ab_c1_social_grade_share
E02001176,Salford 020,England,53.49019,-2.34373,4,Mainstream Affluent Suburban Markets,96.8,11,0.9986231584744596,0.9534691629955947,1.0,0.9554329057060238,0.95,SEA LIFE - Family Discovery Attraction,SEA LIFE Manchester,SEA LIFE,Family Discovery Attraction,1.6,SEA LIFE Manchester,SEA LIFE,Family Discovery Attraction,1.6,Annual pass,Annual pass,High-opportunity MSOA within 30 miles of the recommended attraction.,"Promote annual pass value, repeat-visit benefits and in-attraction upsell opportunities.",True,False,False,1,SEA LIFE Manchester,3753,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11748,1769,1177,3618,3042,2142,5472,1212,2807,2666,1695,3777,5990,0.1505788219271365,0.1001872659176029,0.3079673135852911,0.2589376915219611,0.1823289070480081,0.22149122807017543,0.5129751461988304,0.48702485380116955,0.6902412280701754,4476.8,0.6371662589086268
E02003360,Bracknell Forest 009,England,51.39797,-0.78073,4,Mainstream Affluent Suburban Markets,96.8,12,0.9984854743219056,0.9498898678414097,1.0,0.9600080859680082,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,7.2,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,7.2,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3713,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11624,2578,1198,3531,2807,1510,4339,1699,2006,2329,460,3875,6100,0.2217825189263592,0.1030626290433585,0.3037680660701995,0.2414831383344803,0.1299036476256022,0.3915648766997004,0.46231850656833373,0.5376814934316663,0.8938869665513264,2139.5,0.6142382438827912
E02000156,Bromley 030,England,51.37681,-0.01147,4,Mainstream Affluent Suburban Markets,96.7,13,0.9983477901693515,0.9716409691629956,1.0,0.9289183006466453,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,13.5,SEA LIFE London Aquarium,SEA LIFE,Family Discovery Attraction,9.8,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3923,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12294,2080,1219,2557,3528,2910,4864,1489,2139,2723,772,4089,6856,0.1691882218968602,0.0991540588905156,0.2079876362453229,0.2869692532942899,0.2367008296730112,0.3061266447368421,0.43976151315789475,0.5602384868421053,0.8411849413700885,3198.1,0.7567328918322296
E02003701,Buckinghamshire 038,England,51.64837,-0.77491,4,Mainstream Affluent Suburban Markets,96.7,14,0.9982101060167975,0.9721916299559471,1.0,0.9276876530903186,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,13.8,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,13.8,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3926,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12302,2440,1523,3317,3008,2014,4604,1612,2225,2383,665,3943,5806,0.1983417330515363,0.1238010079661843,0.2696309543163713,0.2445130873028775,0.1637132173630304,0.3501303214596003,0.48327541268462204,0.516724587315378,0.8556857638888888,2064.3,0.5957315821875642
E02002109,Solihull 029,England,52.37361,-1.82512,4,Mainstream Affluent Suburban Markets,96.6,15,0.9980724218642434,0.9661343612334802,1.0,0.9312515595961961,0.95,Cadbury World - Family Discovery Attraction,Cadbury World,Cadbury World,Family Discovery Attraction,6.0,Cadbury World,Cadbury World,Family Discovery Attraction,6.0,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 3 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,3,Warwick Castle; Cadbury World; SEA LIFE Birmingham,3867,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12130,2338,1247,3577,3123,1845,5048,1669,1743,3307,341,4709,7827,0.1927452596867271,0.1028029678483099,0.2948887056883759,0.2574608408903545,0.1521022258862324,0.33062599049128366,0.3452852614896989,0.6547147385103012,0.9324752475247524,718.3,0.7727317602922302
E02006604,Mid Sussex 001,England,51.13088,-0.01296,4,Mainstream Affluent Suburban Markets,96.6,16,0.9979347377116894,0.9896751101321586,1.0,0.9006641367220161,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,20.1,Chessington World of Adventures Resort,Chessington,Family Theme Park,20.1,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium; SEA LIFE Brighton,4233,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,13278,2248,1192,3714,3563,2561,5949,1567,2897,3055,1157,4794,6481,0.1693026058141286,0.0897725561078475,0.2797107998192499,0.2683386052116283,0.1928754330471456,0.2634056143889729,0.48697260043704826,0.5130273995629517,0.8055788943034784,4321.5,0.616240372729866
E02000764,Redbridge 014,England,51.58062,0.02259,4,Mainstream Affluent Suburban Markets,96.5,17,0.9977970535591354,0.9724669603524229,1.0,0.9193331771815807,0.95,Shrek's Adventure! - Family Discovery Attraction,Shrek's Adventure! London,Shrek's Adventure!,Family Discovery Attraction,8.3,London Eye,London Eye,Urban Icon Attraction,8.2,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 7 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,7,Thorpe Park; Chessington World of Adventures Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3919,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12307,1957,945,4106,3117,2182,5370,1397,2312,3056,1703,3664,7627,0.1590151946046965,0.0767855691882668,0.3336312667587552,0.2532704964654261,0.1772974729828552,0.26014897579143387,0.43054003724394785,0.5694599627560522,0.6826905161170114,6195.0,0.770015143866734
E02000757,Redbridge 007,England,51.5984,0.022037,4,Mainstream Affluent Suburban Markets,96.4,18,0.9976593694065813,0.9739812775330396,1.0,0.915099089926682,0.95,Shrek's Adventure! - Family Discovery Attraction,Shrek's Adventure! London,Shrek's Adventure!,Family Discovery Attraction,9.1,London Eye,London Eye,Urban Icon Attraction,9.0,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 7 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,7,Thorpe Park; Chessington World of Adventures Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3942,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12393,2254,1109,4286,3054,1690,5181,1666,2201,2978,1476,3702,7829,0.1818768659727265,0.0894860001613814,0.345840393770677,0.2464294359719196,0.1363673041232954,0.3215595444894808,0.42482146303802354,0.5751785369619764,0.7149478563151797,8308.0,0.7455480430435196
E02004808,Rushmoor 007,England,51.2748,-0.76908,4,Mainstream Affluent Suburban Markets,96.4,19,0.9975216852540273,0.9657901982378855,1.0,0.9267622682085436,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,14.0,Thorpe Park,Thorpe Park,Thrill Theme Park,13.6,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 3 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,3,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort,3855,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12118,2189,1411,4337,2796,1385,4930,1565,2157,2772,768,4161,6585,0.1806403696979699,0.1164383561643835,0.3578973427958409,0.2307311437530945,0.114292787588711,0.3174442190669371,0.437525354969574,0.562474645030426,0.8441874619598296,1149.2,0.6566613482249701
E02006614,Mid Sussex 011,England,50.99359,-0.1338,4,Mainstream Affluent Suburban Markets,96.4,20,0.9973840011014732,0.9833425110132159,1.0,0.9008807945710758,0.95,SEA LIFE - Family Discovery Attraction,SEA LIFE Brighton,SEA LIFE,Family Discovery Attraction,12.0,SEA LIFE Brighton,SEA LIFE,Family Discovery Attraction,12.0,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 2 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,2,Chessington World of Adventures Resort; SEA LIFE Brighton,4088,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12852,2591,1230,3297,3549,2185,5222,1774,2030,3190,516,4706,7900,0.2016028633675692,0.0957049486461251,0.2565359477124183,0.2761437908496732,0.1700124494242141,0.3397165836844121,0.38873994638069703,0.6112600536193029,0.9011872845653006,528.9,0.7512362114872575
E02000798,Richmond upon Thames 015,England,51.43983,-0.35908,4,Mainstream Affluent Suburban Markets,96.3,21,0.9972463169489192,0.9347466960352423,1.0,0.9633550884233449,1.0,Chessington - Family Theme Park,Chessington World of Adventures Resort,Chessington,Family Theme Park,6.5,Chessington World of Adventures Resort,Chessington,Family Theme Park,6.5,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3592,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11304,2452,1158,2907,3317,1470,4322,1747,1733,2591,881,3443,7420,0.2169143665958952,0.1024416135881104,0.2571656050955414,0.2934359518754423,0.1300424628450106,0.4042110134197131,0.4009717723276261,0.599028227672374,0.7962534690101758,4603.8,0.7700290577002906
E02004755,Hart 005,England,51.28926,-0.86176,4,Mainstream Affluent Suburban Markets,96.3,22,0.9971086327963652,0.9672356828193832,1.0,0.9219706754882017,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,15.1,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,15.1,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 3 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,3,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort,3866,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,12166,2303,1223,3513,3390,1737,5154,1658,1859,3294,570,4583,8133,0.1892980437284235,0.1005260562222587,0.2887555482492191,0.2786454052276837,0.1427749465724149,0.3216918897943345,0.3606907256499806,0.6393092743500194,0.889384824374151,1496.7,0.7867853342362388
E02006405,Spelthorne 003,England,51.43604,-0.4751,4,Mainstream Affluent Suburban Markets,96.3,23,0.9969709486438111,0.9413546255506607,1.0,0.9562542610764395,1.0,LEGOLAND - Family Theme Park,LEGOLAND Windsor Resort,LEGOLAND,Family Theme Park,7.9,Thorpe Park,Thorpe Park,Thrill Theme Park,3.3,Multi-attraction cluster marketing,Multi-attraction cluster marketing,High-opportunity MSOA with 8 Merlin attractions within 30 miles.,"Promote annual pass, multi-attraction bundles, CRM cross-sell and local cluster campaigns.",True,True,False,8,Thorpe Park; Chessington World of Adventures Resort; LEGOLAND Windsor Resort; London Eye; Madame Tussauds London; London Dungeon; Shrek's Adventure! London; SEA LIFE London Aquarium,3633,33.0,0.01,large local market,Straight-line distance proxy in miles; judgement-based weights; attraction coordinates and simplified categories are maintained in merlin_attraction_data.csv.,11433,2014,1144,3398,2979,1898,4441,1465,2031,2409,588,3851,5955,0.1761567392635353,0.1000612262748185,0.2972098311904137,0.2605615324061926,0.1660106708650398,0.3298806575095699,0.4573294303084891,0.5426705696915108,0.8675377337238117,4531.6,0.6553317926708485
